,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
28,Manchester United,Attack-RightWinger,174.0,21.0,34,0.0,0.087378641,0.262135922,0.0,0.0,0.0,0.0,1030,90,15,1,3000000,7000000
61,Leicester City,Defender Centre-Back,199.0,30.0,25,0.0,0.0,0.245733788,0.0,0.0,0.0,0.0,1465,241,35,0,5000000,20000000
71,Leicester City,midfield-DefensiveMidfield,167.0,30.0,42,0.038977913,0.038977913,0.233867475,0.0,0.0,0.0,0.0,2309,459,62,2,3500000,12000000
88,Aston Villa,Defender Centre-Back,182.0,28.0,33,0.099118943,0.0,0.148678414,0.0,0.0,0.0,0.0,1816,458,66,2,8000000,18000000
101,Aston Villa,Attack-RightWinger,181.0,27.0,36,0.302013423,0.060402685,0.181208054,0.0,0.0,0.0,0.0,1490,254,33,1,14000000,20000000
118,Wolverhampton Wanderers,midfield-DefensiveMidfield,172.0,20.0,38,0.185643564,0.074257426,0.25990099,0.0,0.0,0.0,0.0,2424,0,0,2,500000,500000
124,Wolverhampton Wanderers,Attack-RightWinger,172.0,23.0,34,0.116129032,0.058064516,0.232258065,0.0,0.0,0.0,0.0,1550,498,68,2,32000000,38000000
141,Southampton FC,Defender Left-Back,170.0,19.0,24,0.0,0.119521912,0.298804781,0.0,0.0,0.0,0.0,1506,206,32,3,7000000,7000000
148,Southampton FC,midfield-CentralMidfield,183.0,20.0,21,0.285941223,0.142970612,0.285941223,0.0,0.0,0.0,0.0,1259,27,6,1,12000000,12000000
154,Southampton FC,Attack-LeftWinger,177.0,24.0,40,0.051605505,0.206422018,0.309633028,0.0,0.0,0.0,0.0,1744,148,21,1,10000000,13000000
157,Southampton FC,Attack-RightWinger,175.0,34.0,37,0.245499182,0.147299509,0.049099836,0.0,0.0,0.0,0.0,1833,605,92,5,1800000,28000000
164,Brighton &amp; Hove Albion,Goalkeeper,185.0,23.0,23,0.0,0.0,0.0,0.0,0.0,1.391304348,0.086956522,2070,0,0,0,200000,200000
